,Sars,Mers,Iv,Eb
PHF11,4.1986487981064845e-05,4.37579419709152e-05,6.472425187464074e-06,
CD40,8.840544629537523e-07,1.704932621475769e-06,,4.035211001276248e-06
P2RY6,1.8906339270309045e-06,5.153738321133239e-07,,
GAS8,0.0,,,
AK7,0.0,,0.0,
OPTN,7.065693521877636e-06,2.966993792984091e-07,,
RLF,7.54094705356347e-06,1.292753479594928e-06,,
NIPA1,0.0,,0.0,
TRPM7,0.0,,,
GLDC,0.0,,,6.007029444650992e-07
CCDC85A,7.23910354881085e-06,,,
TTLL6,0.0,0.00815685252304133,,0.00021357546240132527
ZSCAN20,0.0,0.0,1.137145803769774e-05,
LRRC18,1.8508819957154984e-06,,,
SYT10,3.949479799762763e-06,0.0,,
MAP3K13,8.782964939186106e-05,,,
LRRC3,5.25436163723909e-06,,,1.2556866766888085e-06
TBX21,1.8483074399098982e-05,7.615775217911007e-08,0.0,
LUZP1,0.0,,,
ADAM28,1.2166937694546397e-06,,,
MAP3K14,4.546238897722208e-05,,0.0,
ARHGAP24,3.2599114530894025e-06,,,
TRIM14,8.674560847909106e-05,2.6982663636879283e-05,4.656707573457615e-05,0.00010522025044325343
IRX3,3.43661500247492e-06,2.161121078316108e-06,1.181779483446955e-05,
RNF152,2.2695890535185306e-05,,,
PDE4DIP,2.9548292350194518e-05,,0.0,9.285644067428193e-06
STAT4,1.0009318945722314e-06,2.9079657361870746e-06,,1.0820740472728433e-06
AKAP8L,1.2173111235518712e-07,,,5.216703264861898e-06
SLITRK6,0.0,1.8938880782193078e-05,0.0,4.491101093966114e-05
ARL5B,1.2255504572431114e-07,6.1461624804163895e-06,,
H1FOO,0.0002553600465732863,,,
CCDC120,4.754980005610083e-07,,7.490614015149497e-07,
CSF1,6.06347255670339e-07,1.733726791272298e-05,8.163382094482715e-06,6.562818719087321e-05
TMEM164,2.720324052491304e-06,0.0,,0.0
NBEAL2,0.0,5.291575891569503e-07,2.196675721267588e-05,0.0
MAPK8IP3,8.420427152724697e-07,,1.5182669226083776e-07,0.0
L3MBTL3,0.0,,,
ANKRD44,1.3043545091041952e-06,2.1031943677456336e-07,,
ZC3H7B,1.6528169427358006e-05,,0.0,5.7338001491416e-06
PARP9,0.00027407604702856756,0.00023222315941232147,0.0022829753159053674,2.322961083473048e-05
PRR11,8.628835481166618e-05,,,
ADAMTS2,5.3583652679295204e-05,3.8016276260491823e-06,,3.6899369952476285e-06
OXT,1.0765804492876299e-05,5.475058601782745e-06,4.7562762872826335e-05,1.8472384567189344e-05
KCNE3,1.3188713857951758e-05,,,4.133243529460717e-06
DDX3X,2.02925177928706e-07,8.122148461187613e-06,3.882096438825316e-05,
SMAD2,0.0,,,
ADAMTS4,0.0008103011609253137,5.63758386398867e-05,,
TRIM69,0.00016439726596350604,,0.00240460616192081,9.987349287907257e-06
APC2,2.6078210758714537e-05,2.0391497276283605e-06,1.0064237356789865e-05,
SLC4A8,6.0944517422936045e-05,,,
MEGF8,0.0,2.2392958496044787e-05,,1.5255447124428337e-05
BACH2,4.944654672875588e-06,9.99238310046165e-07,6.924283096693029e-07,1.1468512836034875e-05
MYL9,1.059975234004638e-06,1.4420946451011553e-06,,0.00011652105555282892
LRMP,0.0005820282369771037,6.069431766293163e-06,1.097398964493446e-05,2.1699205708604888e-05
KRT16,5.5199198121591023e-05,0.0,,
RGS12,4.522594339395727e-07,,,
C4B,3.20616758639264e-05,5.285016083322861e-06,3.364127726057283e-06,1.8431507186914717e-05
TSC22D2,8.760903249147061e-05,0.00017077312589556872,2.3064499843682288e-05,1.802311640363405e-05
SULT1E1,3.554136057121798e-05,,,
SOD3,1.4128353134007551e-06,9.261621396271884e-05,,
VWF,8.757929638169308e-05,0.00015585140548841816,6.238434612928435e-06,
DPYSL5,0.002285422169858702,1.4723903780794691e-05,,
HTRA1,2.2753660032050174e-07,,,
SMO,3.2724883836461353e-07,,,0.0
