,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
DHX30,0,5.183535655780735e-05,-677.0,-0.31226937269372695,-2.7174231924182584e-06,-0.6819353381778032,0.0
DHX32,0,3.7411952298979725e-06,-134.0,-0.029162132752992384,-1.93528571294896e-07,-0.6353452209142412,0.0
DHX33,0,0.0,,,,,0.0
DHX34,0,1.1580590273233213e-05,-539.0,-0.14473684210526316,-5.684749304074386e-07,-0.6884192890539365,0.0
DHX36,0,0.0,,,,,0.0
DHX37,0,0.0011038294329752192,-381.0,-1.0241935483870968,-7.434584469111104e-05,-0.7914521665391933,0.0
DHX38,0,0.0,,,,,0.0
DHX40,2,4.948762611369448e-06,323.0,0.06633805709591292,-3.31713699301536e-08,-0.1639024775550614,0.0017269655149253704
DHX57,0,0.0,,,,,0.0
DHX8,0,4.842869949051611e-05,-677.0,-0.35352480417754567,-3.5282827049258893e-06,-0.6852998635245877,0.0
DHX9,0,8.49198016485435e-05,-478.0,-0.3551263001485884,-7.120647241975474e-06,-0.6728389618107578,0.0
DIABLO,0,6.127765754401072e-06,-176.0,-0.03674321503131524,-1.854687761645423e-07,-0.8091879271805982,0.0
DICER1,0,0.0,,,,,0.0
DIDO1,0,0.0005068683766361934,-284.0,-0.6187363834422658,-5.352836931970567e-05,-0.7280288456001213,0.0
DIO2,10,0.00020978624520448725,3859.0,0.7330927051671733,6.126795494054867e-06,inf,0.00715694714670893
DIO3,11,0.00014242312214543426,2175.0,0.5447032306536439,2.8750339824557603e-06,4.718166702737462,0.010184534880207626
DIP2B,0,3.430294060266919e-05,-687.0,-0.268359375,-1.8082846711319683e-06,-0.6792740430721096,0.0
DIP2C,2,3.2001321761908364e-06,-238.0,-0.06659205372132065,-4.886103318061732e-07,-0.5063224034573546,0.001346322133479602
DIRAS1,0,0.0,,,,,0.0
DIRC2,0,0.0,,,,,0.0
DIS3,0,0.0,,,,,0.0
DIS3L,0,0.0,,,,,0.0
DISC1,3,3.88334389579207e-05,305.0,0.0934436274509804,-2.0580644000074758e-07,-0.1543362323743498,0.0032132051663842035
