,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AGMAT,3,2.656936323350522e-05,1356.0,0.24017003188097769,3.518788445770154e-07,3.134050834282265,0.01656716133156452
AGPAT1,0,5.800768913967491e-06,-26.0,-0.014976958525345621,-1.6554714675995634e-07,-0.03889131140756657,0.0
AGPAT3,0,4.529229437019779e-07,-66.0,-0.012918379330593071,-6.623399004591485e-09,-0.03243864896293183,0.0
AGPAT4,0,1.915664531494091e-06,-101.0,-0.024797446599558064,-3.060435295766782e-08,-0.05613557390551345,0.0
AGPAT5,0,1.1128626066384857e-06,-104.0,-0.02190395956192081,-2.017652884542339e-08,-0.06928424985099524,0.0
AGPS,0,7.590423217722742e-07,-110.0,-0.020359059781602813,-9.488029022153443e-09,-0.061484999583879124,0.0
AGR2,7,5.9921359786313146e-05,546.0,0.21649484536082475,1.2654115907248515e-06,0.6518127979136874,0.018776603507546567
AGR3,1,7.794152640162361e-06,629.0,0.09764048432163924,9.742690800202952e-08,inf,0.005506271613349376
AGRN,0,2.6732976948592967e-05,-33.0,-0.03173076923076923,-6.775767319665718e-07,-0.058428408591519425,0.0
AGRP,0,5.781043206983171e-06,-96.0,-0.03643263757115749,-1.0882214201799265e-07,-0.06230445475308543,0.0
AGT,0,2.7255771490119845e-08,-99.0,-0.015505090054815976,-3.406971436264987e-10,-0.02566998271479486,0.0
AGTPBP1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AGTRAP,1,1.167705935484375e-05,938.0,0.14560695436199939,1.4596324193554688e-07,inf,0.006157333215244074
AHCTF1,0,1.72870850154495e-07,-101.0,-0.017138978449007296,-2.1608856269311927e-09,-0.028333155335030245,0.0
AHCY,5,6.973805135605389e-05,1378.0,0.36291809323149854,1.4470593135897962e-06,2.102282210899016,0.02257564725583782
AHCYL1,1,9.283954529262054e-06,-29.0,-0.01739652069586083,-2.127452548593443e-07,-0.0456877963144184,0.005466754020165329
AHDC1,0,6.852710921734183e-07,-101.0,-0.01893158388003749,-8.709721114054916e-09,-0.05239938143174805,0.0
AHI1,0,3.4784413307148215e-07,-107.0,-0.018755477651183173,-4.348051663393524e-09,-0.0426701425072789,0.0
AHNAK,0,3.161569219730097e-05,-22.0,-0.026602176541717048,-8.286011813553684e-07,-0.04819975580002078,0.0
AHR,0,0.0005746510434289347,-7.0,-0.03888888888888889,-2.502534905415404e-05,-0.0946468633142327,0.0
AHRR,15,3.570757618432623e-05,12.0,0.021164021164021163,3.3415686199430764e-07,0.010081628025173503,0.01564568156911531
AHSA1,0,8.366308788075268e-06,-31.0,-0.020274689339437543,-2.3457526091080085e-07,-0.043017467283539904,0.0
AHSG,0,8.193319643785559e-06,-81.0,-0.03306122448979592,-1.292937005296732e-07,-0.06204146802331138,0.0
AIFM2,0,9.586136191311478e-07,-75.0,-0.016490765171503958,-1.367885349349407e-08,-0.038717791329474206,0.0
AIG1,0,1.215720759867638e-08,-102.0,-0.015892801495793082,-1.5196509498345475e-10,-0.019341571239783858,0.0
AIP,0,4.996923909245773e-08,-101.0,-0.015965855200758772,-6.24615488655723e-10,-0.027560142949642458,0.0
AIRE,0,5.965937427286896e-06,-106.0,-0.03821196827685652,-1.1075569799736221e-07,-0.07100088155865802,0.0
AK1,0,3.6631038524305914e-06,-121.0,-0.037565973300217326,-6.765058499580804e-08,-0.06444563275126251,0.0
AK2,0,5.436708240294004e-07,-93.0,-0.017219033512312534,-6.943521707511211e-09,-0.044874575936497386,0.0
AK3,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AK7,0,2.571336501706834e-07,-114.0,-0.018404907975460124,-3.2141706271335388e-09,-0.07476884899507419,0.0
AKAP1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AKAP11,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AKAP12,8,0.00015674403962739788,4.0,0.012461059190031152,-1.022622484406785e-06,-0.01063531157765307,0.019118195771279475
AKAP13,0,5.1824824842914364e-06,-47.0,-0.02160919540229885,-1.1592005223471783e-07,-0.043525960047120345,0.0
AKAP7,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AKAP8,0,2.9142863361301413e-07,-104.0,-0.018102697998259355,-3.642857920162687e-09,-0.03788254560156833,0.0
